,date,home_team,away_team,home_score,away_score,actual_result
0,2026-06-11,Mexico,South Africa,2,0,H
1,2026-06-11,South Korea,Czech Republic,2,1,H
2,2026-06-12,Canada,Bosnia and Herzegovina,1,1,D
3,2026-06-12,United States,Paraguay,4,1,H
4,2026-06-13,Qatar,Switzerland,1,1,D
5,2026-06-13,Brazil,Morocco,1,1,D
6,2026-06-13,Haiti,Scotland,0,1,A
7,2026-06-14,Australia,Turkey,2,0,H
8,2026-06-14,Germany,Curaçao,7,1,H
9,2026-06-14,Netherlands,Japan,2,2,D
10,2026-06-14,Ivory Coast,Ecuador,1,0,H
11,2026-06-15,Sweden,Tunisia,5,1,H
12,2026-06-15,Spain,Cape Verde,0,0,D
13,2026-06-15,Belgium,Egypt,1,1,D
14,2026-06-15,Saudi Arabia,Uruguay,1,1,D
15,2026-06-16,Iran,New Zealand,2,2,D
16,2026-06-16,France,Senegal,3,1,H
17,2026-06-16,Iraq,Norway,1,4,A
18,2026-06-17,Argentina,Algeria,3,0,H
19,2026-06-17,Austria,Jordan,3,1,H
20,2026-06-17,Portugal,DR Congo,1,1,D
21,2026-06-17,England,Croatia,4,2,H
22,2026-06-17,Ghana,Panama,1,0,H
23,2026-06-18,Uzbekistan,Colombia,1,3,A
24,2026-06-18,Czech Republic,South Africa,1,1,D
25,2026-06-18,Switzerland,Bosnia and Herzegovina,4,1,H
26,2026-06-18,Canada,Qatar,6,0,H
27,2026-06-19,Mexico,South Korea,1,0,H
28,2026-06-19,United States,Australia,2,0,H
29,2026-06-19,Scotland,Morocco,0,1,A
30,2026-06-20,Brazil,Haiti,3,0,H
31,2026-06-20,Turkey,Paraguay,0,1,A
32,2026-06-20,Netherlands,Sweden,5,1,H
33,2026-06-20,Germany,Ivory Coast,2,1,H
34,2026-06-21,Ecuador,Curaçao,0,0,D
35,2026-06-21,Tunisia,Japan,0,4,A
36,2026-06-21,Spain,Saudi Arabia,4,0,H
37,2026-06-21,Belgium,Iran,0,0,D
38,2026-06-21,Uruguay,Cape Verde,2,2,D
39,2026-06-22,New Zealand,Egypt,1,3,A
40,2026-06-22,Argentina,Austria,2,0,H
41,2026-06-22,France,Iraq,3,0,H
42,2026-06-23,Norway,Senegal,3,2,H
43,2026-06-23,Jordan,Algeria,1,2,A
44,2026-06-23,Portugal,Uzbekistan,5,0,H
45,2026-06-23,England,Ghana,0,0,D
46,2026-06-23,Panama,Croatia,0,1,A
47,2026-06-24,Colombia,DR Congo,1,0,H
48,2026-06-24,Switzerland,Canada,2,1,H
49,2026-06-24,Bosnia and Herzegovina,Qatar,3,1,H
50,2026-06-24,Scotland,Brazil,0,3,A
51,2026-06-24,Morocco,Haiti,4,2,H
52,2026-06-25,Czech Republic,Mexico,0,3,A
53,2026-06-25,South Africa,South Korea,1,0,H
54,2026-06-25,Curaçao,Ivory Coast,0,2,A
55,2026-06-25,Ecuador,Germany,2,1,H
56,2026-06-25,Japan,Sweden,1,1,D
57,2026-06-25,Tunisia,Netherlands,1,3,A
58,2026-06-26,Turkey,United States,3,2,H
59,2026-06-26,Paraguay,Australia,0,0,D
60,2026-06-26,Norway,France,1,4,A
61,2026-06-26,Senegal,Iraq,5,0,H
62,2026-06-27,Cape Verde,Saudi Arabia,0,0,D
63,2026-06-27,Uruguay,Spain,0,1,A
64,2026-06-27,Egypt,Iran,1,1,D
65,2026-06-27,New Zealand,Belgium,1,5,A
66,2026-06-27,Panama,England,0,2,A
67,2026-06-27,Croatia,Ghana,2,1,H
68,2026-06-27,Colombia,Portugal,0,0,D
69,2026-06-27,DR Congo,Uzbekistan,3,1,H
70,2026-06-28,Algeria,Austria,3,3,D
71,2026-06-28,Jordan,Argentina,1,3,A
