team,elo
Argentina,1578.8335742654983
Spain,1526.1838681104127
France,1511.1830890657498
Brazil,1465.0585924923055
Colombia,1458.6682045856226
England,1450.8768094407012
Portugal,1449.255148382007
Morocco,1442.2585427792633
Netherlands,1433.868521605987
Germany,1431.9308054962673
Japan,1428.5017189650846
Mexico,1424.80832652976
Ecuador,1381.8133676787859
Belgium,1373.5548375927162
Norway,1372.8155491957068
Croatia,1367.0149220062683
Switzerland,1365.75858147487
Italy,1356.314385788441
Turkey,1344.915253252051
United States,1344.1246646591105
Algeria,1343.7074627287182
Austria,1339.1325654780246
Denmark,1334.9338832133376
Iran,1327.819603101409
Australia,1317.4912486639676
Uruguay,1312.7504105925284
Ivory Coast,1309.3861923612938
Senegal,1308.5848076130192
Canada,1308.3639163528576
Paraguay,1300.3851772534904
Russia,1293.743224928643
South Korea,1292.7053136010766
Egypt,1281.7798560770204
Nigeria,1281.3436696581991
Jersey,1266.112405689676
Chile,1248.4536202684876
Sweden,1247.7230541321826
Venezuela,1245.9643463529737
Scotland,1245.5157077787917
Poland,1245.1758422491182
Ukraine,1243.0435753180577
Hungary,1237.2132398461397
DR Congo,1236.5066921651028
Basque Country,1232.5418430335767
Czech Republic,1226.6043985744138
Greece,1221.1904161866216
Uzbekistan,1220.7152651531503
Serbia,1217.9370100382675
Republic of Ireland,1208.0668886936583
Guernsey,1205.4513506630894
Kosovo,1201.5152793090501
Isle of Man,1189.0491252803854
Peru,1188.0175221292382
Panama,1184.2284448150374
Slovenia,1183.4564660205679
Occitania,1176.8680677385582
Northern Cyprus,1174.5939478229836
Saudi Arabia,1174.1478505849022
Jordan,1169.888973584583
Cameroon,1169.5712003287588
Slovakia,1168.941606597643
Catalonia,1165.2356190225514
South Africa,1163.5394950220611
Iraq,1163.2254928334735
Georgia,1163.0492487835734
Mali,1162.99125819268
Costa Rica,1160.2864554169241
Wales,1158.0006787146917
United Arab Emirates,1157.8803235011276
Cape Verde,1157.628889565066
Ynys Môn,1152.5714665081266
Tunisia,1150.351129372643
Padania,1149.822542938897
Honduras,1142.940592443853
Bosnia and Herzegovina,1135.0045221829414
New Zealand,1132.2598661865184
Iraqi Kurdistan,1130.1818851109347
Romania,1127.2579411740621
Andalusia,1125.2512976967653
Bolivia,1122.3965797745523
Israel,1120.3028522017992
Abkhazia,1116.5391608098184
Isle of Wight,1115.1400676426288
Burkina Faso,1113.587562150073
Jamaica,1112.4175029955934
Northern Ireland,1112.166103390781
Kernow,1111.1710817999071
Ghana,1107.9233986753434
Haiti,1106.4128607238083
Albania,1103.3910905953476
Kárpátalja,1101.8816003539682
Guatemala,1086.626848520381
County of Nice,1085.033421652165
Iceland,1081.9444634987187
Corsica,1077.9754553177218
Yorkshire,1076.7488161397753
Tamil Eelam,1075.7875083797123
North Macedonia,1074.964466751926
Angola,1073.9565716174172
Belarus,1070.7249431500056
Rhodes,1069.8800101565696
Artsakh,1069.8206748630314
Oman,1068.5152014442303
Thailand,1066.3925454428168
Suriname,1066.2454683676485
China,1065.880828869271
Ellan Vannin,1065.8053091873683
Réunion,1063.6457661594507
Kurdistan,1061.4102944161712
Panjab,1057.8402750837924
Curaçao,1054.6819166292137
