team,elo
Argentina,1596.88863682207
Spain,1560.678949556122
France,1544.1997304918152
England,1486.310221494152
Brazil,1459.1783709383521
Morocco,1452.1136975373013
Portugal,1449.0199166991695
Colombia,1445.12379964442
Mexico,1427.07030156791
Netherlands,1422.448690817675
Japan,1414.174995562088
Germany,1411.2556554842074
Belgium,1398.5296686542817
Norway,1393.1886075798138
Switzerland,1391.5241406972498
Ecuador,1364.2757514908217
Italy,1356.3157605986817
Croatia,1354.7343410195945
Turkey,1344.9158174518727
Denmark,1334.9353722719372
United States,1331.6446957361231
Iran,1327.8134440552922
Austria,1326.9357558446864
Algeria,1324.9770587503165
Paraguay,1313.3305345873612
Uruguay,1312.7500783526827
Australia,1303.027720493541
Canada,1302.9765203267118
Ivory Coast,1296.2785272848123
Senegal,1295.5452840350454
Russia,1293.7412098964548
South Korea,1292.6995707838516
Egypt,1291.04738428382
Nigeria,1281.3473115335694
Jersey,1266.1124091596596
Chile,1248.4538565604903
Venezuela,1245.961491905527
Scotland,1245.5166078918794
Poland,1245.1770808887459
Ukraine,1243.0447232046283
Sweden,1239.085926192816
Hungary,1237.214720415351
Basque Country,1232.5436938995847
DR Congo,1229.29578879041
Czech Republic,1226.6052620594198
Greece,1221.1915574038653
Uzbekistan,1220.7080234867165
Serbia,1217.937784612289
Republic of Ireland,1208.067510728448
Guernsey,1205.4513489425397
Kosovo,1201.5171240003824
Isle of Man,1189.049143367888
Peru,1188.0178204443243
Panama,1184.2324800693748
Slovenia,1183.458004469364
Occitania,1176.8680330677853
Northern Cyprus,1174.5938089759727
Saudi Arabia,1174.144058188286
Jordan,1169.8839272658206
Cameroon,1169.5753088543631
Slovakia,1168.9430845198658
Catalonia,1165.2394662249776
Iraq,1163.217150993519
Georgia,1163.049976152659
Mali,1162.9956877612306
Costa Rica,1160.2870020639346
Wales,1158.0021459950135
United Arab Emirates,1157.869718420034
Cape Verde,1155.0291320639076
South Africa,1153.8525914197273
Ynys Môn,1152.5714689661415
Tunisia,1150.3528068641126
Padania,1149.822493225195
Honduras,1142.944221772814
New Zealand,1132.2574605479535
Iraqi Kurdistan,1130.1818603683032
Romania,1127.2597442165463
Bosnia and Herzegovina,1125.7733490530682
Andalusia,1125.2512976967653
Bolivia,1122.3943932773748
Israel,1120.304480015104
Abkhazia,1116.539125786901
Isle of Wight,1115.140085651643
Burkina Faso,1113.5927528823042
Jamaica,1112.418002940914
Northern Ireland,1112.1680420850778
Kernow,1111.1710793413065
Haiti,1106.4142618002122
Ghana,1104.1768327078205
Albania,1103.3916538996511
Kárpátalja,1101.8815692255266
Guatemala,1086.63182049303
County of Nice,1085.033419974305
Iceland,1081.9456399948328
Corsica,1077.992550247623
Yorkshire,1076.748812411919
Tamil Eelam,1075.7873800578543
North Macedonia,1074.9654939113382
Angola,1073.9626312238704
Belarus,1070.7246557326753
Rhodes,1069.8800101565696
Artsakh,1069.8206660393437
Oman,1068.5034426804714
Thailand,1066.3785468048172
Suriname,1066.2515518754085
China,1065.868065133659
Ellan Vannin,1065.8052905630616
Réunion,1063.646935763071
Kurdistan,1061.4077424156803
Panjab,1057.840265177812
Curaçao,1054.6815918042512
New Caledonia,1052.2976184375116
Malaysia,1049.6350153216595
Menorca,1048.1794654868825
Qatar,1046.5456597451318
Finland,1046.0098768601717
Galicia,1045.6584447236453
Syria,1044.0483527932372
Zanzibar,1043.8843397902456
Arameans Suryoye,1043.475393873566
Cascadia,1043.1842356404002
Vietnam,1042.0436062229765
Palestine,1039.2502841022729
Indonesia,1038.452138011596
Libya,1034.631645257556
Chameria,1034.3702802273053
Maule Sur,1030.3061246488899
Elba Island,1027.8639676626526
Guinea,1023.8193663773086
Gabon,1021.5922909221188
Bahrain,1019.5248382707794
Parishes of Jersey,1019.1828008103317
Surrey,1017.4959994512126
Quebec,1017.3079902606784
Guadeloupe,1016.9313566155447
Biafra,1016.6908538892247
Donetsk PR,1015.6719278751101
Montenegro,1015.6629022396897
Brittany,1014.133019696529
Shetland,1013.5828769506302
Zambia,1012.4668169687857
Silesia,1011.8380721944874
Kuwait,1011.391830238927
Crimea,1007.2349348077324
Togo,1006.4656053518487
Felvidék,1005.9554849088778
Mapuche,1004.9203834919025
Madagascar,1004.0364556485122
Gambia,1003.8249545312016
Tahiti,1003.5017864124098
Western Armenia,1002.9972424655919
United Koreans in Japan,1002.7629922858772
Canary Islands,1001.3870940345275
Sealand,999.673221208056
North Korea,999.6727659480229
Délvidék,998.6539145831538
Bulgaria,995.5516032502497
Saugeais,994.5890876221488
Trinidad and Tobago,993.1193087640424
Republic of St. Pauli,992.8559355501006
Benin,992.6138074616971
Franconia,991.6425647127977
Matabeleland,991.6348127061144
Székely Land,991.4207466855212
Uganda,990.6216264862004
Madrid,989.0831148183319
Comoros,985.8377846507568
Dominican Republic,983.7296608732017
Seborga,983.2124949432186
Cilento,982.6756914754693
Yoruba Nation,982.6514157750906
Gozo,982.5771574163686
Guyana,982.1091714989267
El Salvador,981.3876272373781
Nicaragua,980.5420262008671
Rwanda,978.6007938018753
Kyrgyzstan,976.513651158588
Luhansk PR,976.350951285011
Ryūkyū,975.9459031949647
Mauritania,975.2005618649351
Kenya,971.9778580488148
East Turkestan,971.704252150043
Kazakhstan,971.5281939247299
Sápmi,971.2633832902502
South Ossetia,971.16499220637
Somaliland,970.6426416661451
Zimbabwe,970.4151513606057
Provence,968.2614008262943
Luxembourg,967.1518583236076
West Papua,966.5126976872307
Mozambique,966.4201012042888
Hmong,965.7027390008238
Åland Islands,965.5078160804004
Papua New Guinea,965.4928624336875
Aymara,964.7734918592076
Kabylia,963.5156684533607
Greenland,959.5749837958741
Sudan,958.2241767792414
Tajikistan,957.6925882916888
Niger,957.0457975173831
Romani people,955.6093730884005
Chechnya,955.0245634207104
Lebanon,954.3667292787883
Mayotte,951.0560836750752
Martinique,948.8483975570532
Găgăuzia,948.2515558956736
Gotland,945.8184767245687
Monaco,944.0606841672662
Western Isles,943.0317795571501
Vanuatu,941.2689363159793
Orkney,940.0676906142351
Equatorial Guinea,938.2721564672638
Ticino,935.526679409707
Estonia,933.6732168210563
Hitra,929.93788294487
Western Sahara,928.1527805536174
Marshall Islands,927.2672996827582
Sierra Leone,924.9340354133203
Malawi,924.6301771691727
Two Sicilies,924.2317377261423
Botswana,923.7930926040365
French Guiana,923.0822266629157
Turkmenistan,921.8498901395703
Faroe Islands,916.8604192895318
Saint Barthélemy,915.4550188705609
Sark,915.186678629314
Barawa,914.0447891752195
Liberia,913.0203357616884
Armenia,910.8115780156727
Cuba,909.9217404445446
Philippines,908.8176284437789
Tanzania,908.5904094975999
Micronesia,906.4162165400141
Ethiopia,906.3528661638207
Raetia,904.7078172121138
Namibia,904.2591145956877
Lesotho,902.8596174679575
Fiji,900.7524057104841
Cyprus,899.5807515064636
Azerbaijan,899.3979986625975
Burundi,897.9425209770136
Puerto Rico,896.5758227972059
Malta,896.4431548105575
Ambazonia,895.4196474526216
Saint Vincent and the Grenadines,894.206130548953
Vatican City,892.2882589427172
Bermuda,889.0113184423457
Saare County,884.593953923468
Guinea-Bissau,881.1994353956126
Central African Republic,872.9776005866933
Singapore,871.6752516254584
Solomon Islands,865.295119821727
Hong Kong,864.5667030507267
Darfur,864.2566453409613
Saint Helena,860.1034195802272
Saint Pierre and Miquelon,859.4067450820124
Lithuania,853.876067486084
Congo,852.3459252753528
Kiribati,847.3087031973045
Latvia,845.3399336990652
Moldova,844.6768670282352
Eswatini,843.3201498403809
Chagos Islands,842.9177070663661
Belize,837.0461141500946
Yemen,836.5477275489252
Sint Maarten,831.121197711385
Grenada,822.6778272084424
Saint Kitts and Nevis,820.0440081131935
Saint Martin,815.6312162773294
India,814.6696915142885
Samoa,805.4425333245074
South Sudan,802.4756856100062
Chad,789.3780283233266
Montserrat,784.346900820601
Tibet,784.2070607560285
Mauritius,775.697504582537
Tuvalu,771.0849826595932
Saint Lucia,767.7386037667428
Falkland Islands,766.8989034975189
Aruba,765.9625089516632
Frøya,747.5074801632697
Bangladesh,746.4146071961476
Eritrea,744.963137794487
Myanmar,732.309822091441
Cook Islands,730.8889239499337
Alderney,730.2458535978925
Dominica,725.7165485855492
Cambodia,716.2773424149199
Gibraltar,710.1674926566327
Bonaire,708.2850415774845
São Tomé and Príncipe,707.8623233957433
Afghanistan,707.4346986060248
Nepal,705.4837806836833
Antigua and Barbuda,705.0161143538604
Taiwan,695.2227308451322
Andorra,694.2526486656687
Pakistan,691.8269940343339
Barbados,689.2005145391292
Tonga,672.4706631337419
Cayman Islands,657.1256948463504
Sri Lanka,647.021734702258
Djibouti,646.1775847301409
Turks and Caicos Islands,642.2708128092801
British Virgin Islands,638.6633425066782
Somalia,630.4007821066881
Northern Mariana Islands,613.2844727272536
United States Virgin Islands,613.212970928416
Maldives,605.7884364787212
Mongolia,595.6472951048453
Laos,592.3655667877067
Guam,590.6326069691125
American Samoa,575.9411485885038
Seychelles,574.306122589419
Bahamas,565.0872785956367
Brunei,560.6380450382944
Liechtenstein,555.486516672715
Anguilla,538.1298613293982
Timor-Leste,510.25294339816503
San Marino,493.28931748858446
Macau,489.10219623155217
Bhutan,480.7892932519556
