team,elo
Argentina,1607.961691987797
Spain,1579.730431807188
France,1525.1465960267317
England,1475.2356417467572
Brazil,1459.178533368321
Morocco,1452.1113564462676
Portugal,1449.019115078248
Colombia,1445.1239703276556
Mexico,1427.070512966026
Netherlands,1422.4476873393992
Japan,1414.1791651572357
Germany,1411.2544001394592
Belgium,1398.528139167088
Norway,1393.1865606435933
Switzerland,1391.5235895378592
Ecuador,1364.2749131831827
Italy,1356.3141825978532
Croatia,1354.7329498048384
Turkey,1344.9150153373978
Denmark,1334.9336596597384
United States,1331.6457669683862
Iran,1327.8183198256916
Austria,1326.9347327535977
Algeria,1324.9754142963777
Paraguay,1313.3316011434858
Uruguay,1312.7507894032458
Australia,1303.03090808291
Canada,1302.9756639650968
Ivory Coast,1296.2741516565848
Senegal,1295.5426168482895
Russia,1293.743276834793
South Korea,1292.7053963612725
Egypt,1291.0453326392835
Nigeria,1281.3435137439892
Jersey,1266.1123969817122
Chile,1248.4521211239303
Venezuela,1245.9649473038412
Scotland,1245.5156532724704
Poland,1245.1742660195816
Ukraine,1243.0419510051502
Sweden,1239.0844130273397
Hungary,1237.21295266408
Basque Country,1232.542072510303
DR Congo,1229.291149118113
Czech Republic,1226.6043001230385
Greece,1221.190122882759
Uzbekistan,1220.715283480458
Serbia,1217.9369548816348
Republic of Ireland,1208.0666623044583
Guernsey,1205.4513342324838
Kosovo,1201.5150127683721
Isle of Man,1189.0491175843335
Peru,1188.0178287939827
Panama,1184.2286474753062
Slovenia,1183.45618448519
Occitania,1176.8680676616293
Northern Cyprus,1174.5939476129913
Saudi Arabia,1174.1483091964417
Jordan,1169.8892662569551
Cameroon,1169.5714129925707
Slovakia,1168.941371312373
Catalonia,1165.2357635947951
Iraq,1163.230433757676
Georgia,1163.049180300501
Mali,1162.9912414218736
Costa Rica,1160.2866645651736
Wales,1158.0006492344442
United Arab Emirates,1157.8811590048467
Cape Verde,1155.0275774395093
South Africa,1153.8477048055308
Ynys Môn,1152.571437807334
Tunisia,1150.3511145863454
Padania,1149.82254269943
Honduras,1142.940907204785
New Zealand,1132.2349457434782
Iraqi Kurdistan,1130.1818850694683
Romania,1127.257720077392
Bosnia and Herzegovina,1125.7723003471694
Andalusia,1125.2512976967653
Bolivia,1122.3972214990345
Israel,1120.3033728049863
Abkhazia,1116.5391607238687
Isle of Wight,1115.1400570138412
