team,elo
Argentina,1555.332610428662
Spain,1531.993840122158
France,1475.5105035919976
Portugal,1450.506595038551
Brazil,1448.5836247606524
England,1446.5884441544304
Colombia,1442.104925799377
Germany,1437.0666240095911
Japan,1434.3290437777491
Morocco,1426.3399827300552
Netherlands,1411.9504776881374
Ecuador,1400.544631162859
Mexico,1391.378074929906
Belgium,1373.3167300367345
Turkey,1369.4305733777055
Croatia,1366.7746923169143
Norway,1363.603096577509
Switzerland,1356.824879136157
Italy,1356.3134823128612
Algeria,1345.704740208527
Uruguay,1343.391139790189
Iran,1341.2566438166432
Austria,1335.2573491675348
Denmark,1334.9332441305637
Canada,1326.4398675262037
United States,1318.9984066465952
Senegal,1316.2318502550513
Australia,1315.5929437097868
South Korea,1315.5016334873835
Paraguay,1302.8827481961675
Russia,1293.741729985339
Ivory Coast,1290.67795575602
Nigeria,1281.3466580384456
Jersey,1266.1123729021426
Uzbekistan,1265.4095035636035
Czech Republic,1260.7497547999135
Egypt,1256.322527151461
Scotland,1255.9214166653912
Chile,1248.4512382308694
Venezuela,1245.9625804757093
Poland,1245.1736398689663
Ukraine,1243.0411575424707
Hungary,1237.2123622606805
Basque Country,1232.5417885272336
Sweden,1227.0642996664387
Panama,1223.8917065769451
Greece,1221.1892896950792
Serbia,1217.936120765351
Republic of Ireland,1208.0660362252045
DR Congo,1207.118540421285
Guernsey,1205.451288210124
Kosovo,1201.5148355509252
Iraq,1200.461401345986
Jordan,1195.2643183726084
Isle of Man,1189.0491043097377
Peru,1188.0170449439652
Tunisia,1187.0953020650727
Slovenia,1183.4556700823778
Occitania,1176.8679923232246
Northern Cyprus,1174.593865968855
Saudi Arabia,1170.6621165711408
Cameroon,1169.5750438712846
Slovakia,1168.940763323651
Catalonia,1165.2349970884766
Georgia,1163.0482291350197
Mali,1162.9950902092378
Costa Rica,1160.2875773905891
Wales,1158.0001678984002
United Arab Emirates,1157.8727476714305
Ynys Môn,1152.5713642322223
Padania,1149.8225015135722
New Zealand,1144.4817928057782
Honduras,1142.943524805257
South Africa,1140.0261582851897
Iraqi Kurdistan,1130.1818561892744
Haiti,1128.401645310564
Romania,1127.257388504535
Andalusia,1125.25186728718
Cape Verde,1124.662390043795
Bolivia,1122.3957626257852
Israel,1120.3028778037508
Abkhazia,1116.5391642367283
Bosnia and Herzegovina,1116.13682512153
Isle of Wight,1115.1400496546294
Burkina Faso,1113.591847637381
Jamaica,1112.419540822331
Northern Ireland,1112.1652842325411
Kernow,1111.1710792302902
Albania,1103.3897419241978
Kárpátalja,1101.8816255079998
Guatemala,1086.6302770426123
County of Nice,1085.0334196682345
Iceland,1081.9437979445074
Corsica,1077.9919087734593
Yorkshire,1076.7488116463846
Tamil Eelam,1075.7874353969391
North Macedonia,1074.963648979037
Angola,1073.9624670544654
Ghana,1072.792228287238
Belarus,1070.7231911513206
Rhodes,1069.8800043482963
Artsakh,1069.8206693939935
Oman,1068.5082022263728
Thailand,1066.3423308354866
Suriname,1066.2495511982506
China,1065.8695446286772
Ellan Vannin,1065.8052865824063
Réunion,1063.646396595697
Kurdistan,1061.4084932910037
Panjab,1057.8402636439248
Qatar,1056.268658396208
New Caledonia,1052.2445702942318
Malaysia,1049.6419365110105
Curaçao,1049.524651462203
Menorca,1048.1794406312245
Finland,1046.006141808718
Galicia,1045.657798411106
Syria,1044.0513600360564
Zanzibar,1043.8832704065933
Arameans Suryoye,1043.475387862685
Cascadia,1043.1842356801017
Vietnam,1042.0529530147674
Palestine,1039.253183102065
Indonesia,1038.4926811708283
Libya,1034.6322074769498
Chameria,1034.3702847690968
Maule Sur,1030.30612464889
Elba Island,1027.8639801357835
Guinea,1023.8183283640344
Gabon,1021.593266249137
Bahrain,1019.527167940646
Parishes of Jersey,1019.1828004002348
Surrey,1017.4959992501738
Quebec,1017.3081078741284
Guadeloupe,1016.9301834235988
Biafra,1016.6908544484752
Donetsk PR,1015.671927532475
Montenegro,1015.6616010722288
Brittany,1014.132725789241
Shetland,1013.5828443031894
Zambia,1012.466016956193
Silesia,1011.8378349890224
Kuwait,1011.391175291359
Crimea,1007.2352017292023
Togo,1006.4646313977016
Felvidék,1005.955484122322
Mapuche,1004.9203834919024
Madagascar,1004.0358700086722
Gambia,1003.8244417028744
Tahiti,1003.4978612548558
Western Armenia,1002.9972460922376
United Koreans in Japan,1002.763055550818
Canary Islands,1001.3868635336806
North Korea,999.6765137745992
Sealand,999.6732119677024
Délvidék,998.6539142366682
Bulgaria,995.568215359462
Saugeais,994.5890826215634
Trinidad and Tobago,993.1420816609392
Republic of St. Pauli,992.8558880777666
Benin,992.6128467829872
Franconia,991.6425573247834
Matabeleland,991.6348184351492
Székely Land,991.4207539801174
Uganda,990.6209666002871
Madrid,989.0831394200771
Comoros,985.8373787769488
Dominican Republic,983.7095027343008
Seborga,983.2124944982749
Cilento,982.6756914754692
Yoruba Nation,982.6514162326451
Gozo,982.5771464994424
Guyana,982.1116920440852
El Salvador,981.3803822708078
Nicaragua,980.5413774162184
Rwanda,978.6010615686276
Kyrgyzstan,976.5170024671432
Luhansk PR,976.3509513041084
Ryūkyū,975.9459033153884
Mauritania,975.1999655855624
Kenya,971.9781032955628
East Turkestan,971.7042903973154
Kazakhstan,971.5267944432188
Sápmi,971.263382802202
South Ossetia,971.1649941809644
Somaliland,970.6426404876604
Zimbabwe,970.4154415409836
Provence,968.2614616670344
Luxembourg,967.1492615335104
West Papua,966.5127007682664
Mozambique,966.4210998177284
Hmong,965.7027725634572
Åland Islands,965.5076818802692
Papua New Guinea,965.395414782952
Aymara,964.7734918592076
Kabylia,963.5157348458674
Greenland,959.5752238704036
Sudan,958.2243569389268
Tajikistan,957.7015475521902
Niger,957.0449247601132
Romani people,955.6093691030784
Chechnya,955.0245634207104
Lebanon,954.370859427246
Mayotte,951.0559004295504
Martinique,948.8416230140284
Găgăuzia,948.2517554247408
Gotland,945.8183860748344
Monaco,944.0607328746204
Western Isles,943.0317280524326
Vanuatu,941.1811671132068
Orkney,940.067664880236
Equatorial Guinea,938.2715760143872
Ticino,935.5266850637364
Estonia,933.671012595824
Hitra,929.9378533204792
Western Sahara,928.1528921139528
Marshall Islands,927.267258729938
Sierra Leone,924.9328607558576
Malawi,924.6293473809436
Two Sicilies,924.2317385155378
Botswana,923.7921326584408
French Guiana,923.08099021973
Turkmenistan,921.856795671038
Faroe Islands,916.857453800092
Saint Barthélemy,915.4547032380574
Sark,915.186678629314
Barawa,914.044787601019
Liberia,913.0194059375294
Armenia,910.8093016893972
Cuba,909.8867201532494
Philippines,908.8469566451064
Tanzania,908.5905302744676
Micronesia,906.4162234064668
Ethiopia,906.3519299042712
Raetia,904.7078613403088
Namibia,904.2582039137652
Lesotho,902.8587652520716
Fiji,900.1293751427202
Cyprus,899.578488143694
Azerbaijan,899.3946602969461
Burundi,897.9419465266218
Puerto Rico,896.5576451851182
Malta,896.440640963948
Ambazonia,895.4196474526216
Saint Vincent and the Grenadines,893.8896309283986
Vatican City,892.2885116619527
Bermuda,889.0139725632038
Saare County,884.5939138119835
Guinea-Bissau,881.198440428395
Central African Republic,872.976762851205
Singapore,871.7192080009546
Solomon Islands,865.6003130631798
Hong Kong,864.8658926128023
Darfur,864.2566456780721
Saint Helena,860.1034007373562
Saint Pierre and Miquelon,859.4063831282805
Lithuania,853.8734416802961
Congo,852.3449657269125
Kiribati,847.308741310473
Latvia,845.3372860750951
Moldova,844.6754753841982
Eswatini,843.320934365811
Chagos Islands,842.9177018565754
Belize,837.1050871300622
Yemen,836.552890315511
Sint Maarten,831.1776816426205
Grenada,822.6953821563108
Saint Kitts and Nevis,820.7741526076223
Saint Martin,815.7185017071838
India,814.6940768292345
Samoa,805.4427919651952
South Sudan,802.4749771854671
Chad,789.3770575397883
Montserrat,784.3457885701063
Tibet,784.2078430437696
Mauritius,775.7217348759542
Tuvalu,771.0854645993867
Saint Lucia,767.7169141203883
Falkland Islands,766.8988263151622
Aruba,765.9645452159131
Frøya,747.5074072423356
Bangladesh,746.4489237908408
Eritrea,744.9617311228599
Myanmar,732.3216835903517
Cook Islands,730.889097475044
Gibraltar,730.5213041886572
Alderney,730.2458321219918
Dominica,725.7254134473379
Cambodia,716.3395840114401
Bonaire,708.2748058451546
São Tomé and Príncipe,707.8614924329398
Afghanistan,707.4411235270253
Nepal,705.5141230947181
Antigua and Barbuda,705.01503202668
Taiwan,695.2474535414552
Andorra,694.2508855517552
Pakistan,691.833885337522
Barbados,689.1936456522702
Tonga,672.4708220758049
Sri Lanka,647.0295189515275
Djibouti,646.1770142234737
Turks and Caicos Islands,642.2697543652235
British Virgin Islands,638.6179960376206
Cayman Islands,636.72634203504
Somalia,630.3995962411259
Northern Mariana Islands,613.2888007614446
United States Virgin Islands,613.2113820084768
Maldives,605.7985668243454
Mongolia,595.6905021286736
Laos,592.3763928270737
Guam,590.6562914494592
American Samoa,575.9432722115896
Seychelles,574.3068176103872
Bahamas,565.030101044552
