,home_team,away_team,date,home_score,away_score,actual_result
0,South Africa,Canada,2026-06-28,0,1,A
1,Brazil,Japan,2026-06-29,2,1,H
2,Germany,Paraguay,2026-06-29,1,1,A
3,Netherlands,Morocco,2026-06-29,1,1,A
4,Ivory Coast,Norway,2026-06-30,1,2,A
5,France,Sweden,2026-06-30,3,0,H
6,Mexico,Ecuador,2026-06-30,2,0,H
7,England,DR Congo,2026-07-01,2,1,H
8,Belgium,Senegal,2026-07-01,3,2,H
9,United States,Bosnia and Herzegovina,2026-07-01,2,0,H
10,Spain,Austria,2026-07-02,3,0,H
11,Portugal,Croatia,2026-07-02,2,1,H
12,Switzerland,Algeria,2026-07-02,2,0,H
13,Argentina,Cape Verde,2026-07-03,3,2,H
14,Colombia,Ghana,2026-07-03,1,0,H
15,Australia,Egypt,2026-07-03,1,1,A
