home_team,away_team,date,neutral,tournament,home_scored,home_conceded,home_goal_diff,home_win_rate,home_draw_rate,away_scored,away_conceded,away_goal_diff,away_win_rate,away_draw_rate,h2h_home_wins,h2h_away_wins,h2h_draws,tournament_weight,elo_home,elo_away,elo_diff
South Africa,Canada,2026-06-28,1,FIFA World Cup,0.9,1.1,-0.2,0.3,0.3,1.5,0.6,0.9,0.3,0.6,0,0,0,5,1163.5394950220611,1308.3639163528576,-144.82442133079644
Brazil,Japan,2026-06-29,1,FIFA World Cup,2.4,1.1,1.3,0.6,0.2,2.0,0.7,1.3,0.7,0.3,1,1,0,5,1465.0585924923057,1428.5017189650846,36.556873527221114
Germany,Paraguay,2026-06-29,1,FIFA World Cup,3.1,0.9,2.2,0.9,0.0,1.3,1.3,0.0,0.4,0.2,0,0,0,5,1431.930805496267,1300.3851772534904,131.54562824277673
Netherlands,Morocco,2026-06-30,1,FIFA World Cup,2.4,0.9,1.5,0.6,0.3,2.2,0.6,1.6,0.6,0.4,0,0,0,5,1433.868521605987,1442.2585427792633,-8.390021173276182
Ivory Coast,Norway,2026-06-30,1,FIFA World Cup,2.0,0.9,1.1,0.7,0.1,2.2,1.4,0.8,0.5,0.3,0,0,0,5,1309.3861923612938,1372.8155491957068,-63.429356834413056
France,Sweden,2026-06-30,1,FIFA World Cup,2.8,1.0,1.8,0.8,0.1,1.8,2.1,-0.3,0.3,0.3,0,0,0,5,1511.1830890657498,1247.7230541321826,263.46003493356716
Mexico,Ecuador,2026-07-01,0,FIFA World Cup,2.0,0.2,1.8,0.8,0.2,1.2,0.6,0.6,0.4,0.5,0,1,3,5,1424.80832652976,1381.813367678786,42.994958850973944
England,DR Congo,2026-07-01,1,FIFA World Cup,2.0,0.4,1.6,0.7,0.2,1.2,0.7,0.5,0.4,0.3,0,0,0,5,1450.8768094407012,1236.5066921651028,214.37011727559843
Belgium,Senegal,2026-07-02,1,FIFA World Cup,3.1,0.8,2.3,0.6,0.4,1.7,1.3,0.4,0.5,0.1,0,0,0,5,1373.5548375927162,1308.5848076130192,64.97002997969707
United States,Bosnia and Herzegovina,2026-07-02,0,FIFA World Cup,2.3,1.8,0.5,0.6,0.0,1.6,1.2,0.4,0.3,0.6,1,0,0,5,1344.1246646591103,1135.0045221829414,209.1201424761689
Spain,Austria,2026-07-03,1,FIFA World Cup,2.2,0.4,1.8,0.6,0.4,2.6,0.9,1.7,0.6,0.2,0,0,0,5,1526.1838681104127,1339.1325654780246,187.05130263238811
Portugal,Croatia,2026-07-03,1,FIFA World Cup,2.3,0.8,1.5,0.5,0.4,1.9,1.5,0.4,0.7,0.0,1,1,1,5,1449.255148382007,1367.0149220062683,82.24022637573876
Switzerland,Algeria,2026-07-03,1,FIFA World Cup,2.0,1.1,0.9,0.4,0.5,2.1,1.0,1.1,0.6,0.2,0,0,0,5,1365.75858147487,1343.7074627287182,22.051118746151815
Australia,Egypt,2026-07-03,1,FIFA World Cup,1.0,1.1,-0.1,0.3,0.2,1.4,0.8,0.6,0.4,0.4,0,0,0,5,1317.4912486639676,1281.7798560770204,35.71139258694711
Argentina,Cape Verde,2026-07-03,1,FIFA World Cup,2.9,0.2,2.7,1.0,0.0,1.2,1.1,0.1,0.2,0.6,0,0,0,5,1578.8335742654983,1157.628889565066,421.2046847004324
Colombia,Ghana,2026-07-03,1,FIFA World Cup,1.6,0.8,0.8,0.6,0.2,0.6,1.5,-0.9,0.2,0.2,0,0,0,5,1458.6682045856226,1107.9233986753434,350.7448059102792
