date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,result,goal_difference,year,home_scored,home_conceded,home_goal_diff,home_win_rate,home_draw_rate,away_scored,away_conceded,away_goal_diff,away_win_rate,away_draw_rate,h2h_home_wins,h2h_away_wins,h2h_draws,tournament_weight,elo_home,elo_away,elo_diff,predicted_result
2026-06-11,Mexico,South Africa,,,FIFA World Cup,Mexico City,Mexico,0,,,2026,1.6,0.4,1.2,0.6,0.3,1.5,1.0,0.5,0.5,0.2,0,0,0,5,1391.378074929906,1140.0261582851895,251.35191664471654,H
2026-06-11,South Korea,Czech Republic,,,FIFA World Cup,Zapopan,Mexico,1,,,2026,1.5,1.2,0.3,0.6,0.1,2.2,0.9,1.3,0.5,0.4,0,0,0,5,1315.5016334873835,1260.7497547999137,54.7518786874698,H
2026-06-12,Canada,Bosnia and Herzegovina,,,FIFA World Cup,Toronto,Canada,0,,,2026,1.1,0.4,0.7,0.4,0.5,2.0,1.0,1.0,0.3,0.6,0,0,0,5,1326.4398675262037,1116.13682512153,210.30304240467376,H
2026-06-12,United States,Paraguay,,,FIFA World Cup,Inglewood,United States,0,,,2026,1.8,1.7,0.1,0.5,0.1,1.2,1.0,0.2,0.4,0.2,1,0,0,5,1318.9984066465952,1302.8827481961675,16.115658450427645,H
2026-06-13,Qatar,Switzerland,,,FIFA World Cup,Santa Clara,United States,1,,,2026,0.7,1.5,-0.8,0.1,0.4,2.2,0.8,1.4,0.5,0.4,0,0,0,5,1056.268658396208,1356.824879136157,-300.55622073994914,A
2026-06-13,Brazil,Morocco,,,FIFA World Cup,East Rutherford,United States,1,,,2026,2.5,1.1,1.4,0.6,0.1,2.2,0.3,1.9,0.7,0.3,0,1,0,5,1448.5836247606524,1426.3399827300552,22.24364203059713,A
2026-06-13,Haiti,Scotland,,,FIFA World Cup,Foxborough,United States,1,,,2026,1.5,1.0,0.5,0.4,0.3,2.1,1.0,1.1,0.6,0.1,0,0,0,5,1128.401645310564,1255.9214166653912,-127.5197713548273,A
2026-06-13,Australia,Turkey,,,FIFA World Cup,Vancouver,Canada,1,,,2026,1.3,1.0,0.3,0.5,0.1,2.5,1.3,1.2,0.8,0.1,0,0,0,5,1315.5929437097868,1369.4305733777055,-53.83762966791869,A
2026-06-14,Germany,Curaçao,,,FIFA World Cup,Houston,United States,1,,,2026,2.8,0.8,2.0,0.9,0.0,1.9,1.4,0.5,0.4,0.3,0,0,0,5,1437.0666240095911,1049.524651462203,387.541972547388,H
2026-06-14,Ivory Coast,Ecuador,,,FIFA World Cup,Philadelphia,United States,1,,,2026,1.9,0.8,1.1,0.7,0.1,1.2,0.5,0.7,0.4,0.6,0,0,0,5,1290.6779557560199,1400.544631162859,-109.86667540683925,A
2026-06-14,Netherlands,Japan,,,FIFA World Cup,Arlington,United States,1,,,2026,2.2,0.8,1.4,0.6,0.3,1.9,0.6,1.3,0.7,0.2,0,0,0,5,1411.9504776881374,1434.3290437777491,-22.378566089611695,A
2026-06-14,Sweden,Tunisia,,,FIFA World Cup,Guadalupe,Mexico,1,,,2026,1.3,2.0,-0.7,0.2,0.3,1.3,1.4,-0.1,0.3,0.4,0,0,0,5,1227.0642996664387,1187.0953020650727,39.96899760136603,H
2026-06-15,Belgium,Egypt,,,FIFA World Cup,Seattle,United States,1,,,2026,3.7,0.6,3.1,0.7,0.3,1.3,0.6,0.7,0.5,0.3,0,1,0,5,1373.3167300367343,1256.322527151461,116.99420288527335,H
2026-06-15,Iran,New Zealand,,,FIFA World Cup,Inglewood,United States,1,,,2026,1.7,0.6,1.1,0.5,0.2,0.7,1.8,-1.1,0.1,0.1,0,0,0,5,1341.2566438166432,1144.4817928057782,196.77485101086495,H
2026-06-15,Spain,Cape Verde,,,FIFA World Cup,Atlanta,United States,1,,,2026,2.8,0.4,2.4,0.7,0.3,1.6,1.2,0.4,0.4,0.4,0,0,0,5,1531.993840122158,1124.662390043795,407.3314500783629,H
2026-06-15,Saudi Arabia,Uruguay,,,FIFA World Cup,Miami Gardens,United States,1,,,2026,1.2,1.3,-0.1,0.4,0.1,1.0,0.9,0.1,0.4,0.4,0,0,0,5,1170.6621165711408,1343.391139790189,-172.72902321904826,A
2026-06-16,France,Senegal,,,FIFA World Cup,East Rutherford,United States,1,,,2026,2.5,0.9,1.6,0.8,0.1,1.6,0.9,0.7,0.6,0.2,0,0,0,5,1475.5105035919976,1316.2318502550513,159.27865333694626,H
2026-06-16,Iraq,Norway,,,FIFA World Cup,Foxborough,United States,1,,,2026,1.1,1.0,0.1,0.5,0.2,3.1,0.8,2.3,0.6,0.3,0,0,0,5,1200.461401345986,1363.603096577509,-163.14169523152304,A
2026-06-16,Argentina,Algeria,,,FIFA World Cup,Kansas City,United States,1,,,2026,2.5,0.3,2.2,0.8,0.1,2.1,0.4,1.7,0.7,0.2,0,0,0,5,1555.332610428662,1345.704740208527,209.62787022013504,H
2026-06-16,Austria,Jordan,,,FIFA World Cup,Santa Clara,United States,1,,,2026,2.7,0.4,2.3,0.8,0.1,1.7,1.5,0.2,0.5,0.2,0,0,0,5,1335.2573491675348,1195.2643183726084,139.99303079492643,H
2026-06-17,Portugal,DR Congo,,,FIFA World Cup,Houston,United States,1,,,2026,2.6,0.9,1.7,0.7,0.2,1.1,0.5,0.6,0.5,0.3,0,0,0,5,1450.506595038551,1207.118540421285,243.3880546172661,H
2026-06-17,Uzbekistan,Colombia,,,FIFA World Cup,Mexico City,Mexico,1,,,2026,1.4,0.9,0.5,0.4,0.3,2.5,1.0,1.5,0.7,0.1,0,0,0,5,1265.4095035636035,1442.104925799377,-176.69542223577355,A
2026-06-17,England,Croatia,,,FIFA World Cup,Arlington,United States,1,,,2026,2.4,0.2,2.2,0.8,0.1,1.9,1.0,0.9,0.7,0.1,0,0,0,5,1446.5884441544304,1366.7746923169145,79.81375183751584,H
2026-06-17,Ghana,Panama,,,FIFA World Cup,Toronto,Canada,1,,,2026,1.1,1.4,-0.3,0.3,0.2,1.8,1.6,0.2,0.4,0.4,0,0,0,5,1072.792228287238,1223.8917065769451,-151.09947828970712,A
2026-06-18,Czech Republic,South Africa,,,FIFA World Cup,Atlanta,United States,1,,,2026,2.2,0.9,1.3,0.5,0.4,1.5,1.0,0.5,0.5,0.2,0,0,0,5,1260.7497547999137,1140.0261582851895,120.72359651472425,H
2026-06-18,Mexico,South Korea,,,FIFA World Cup,Zapopan,Mexico,0,,,2026,1.6,0.4,1.2,0.6,0.3,1.5,1.2,0.3,0.6,0.1,0,0,1,5,1391.378074929906,1315.5016334873835,75.87644144252249,H
2026-06-18,Switzerland,Bosnia and Herzegovina,,,FIFA World Cup,Inglewood,United States,1,,,2026,2.2,0.8,1.4,0.5,0.4,2.0,1.0,1.0,0.3,0.6,0,0,0,5,1356.824879136157,1116.13682512153,240.68805401462714,H
2026-06-18,Canada,Qatar,,,FIFA World Cup,Vancouver,Canada,0,,,2026,1.1,0.4,0.7,0.4,0.5,0.7,1.5,-0.8,0.1,0.4,1,0,0,5,1326.4398675262037,1056.268658396208,270.17120912999576,H
2026-06-19,Scotland,Morocco,,,FIFA World Cup,Foxborough,United States,1,,,2026,2.1,1.0,1.1,0.6,0.1,2.2,0.3,1.9,0.7,0.3,0,0,0,5,1255.9214166653912,1426.3399827300552,-170.418566064664,A
2026-06-19,Brazil,Haiti,,,FIFA World Cup,Philadelphia,United States,1,,,2026,2.5,1.1,1.4,0.6,0.1,1.5,1.0,0.5,0.4,0.3,0,0,0,5,1448.5836247606524,1128.401645310564,320.1819794500884,H
2026-06-19,United States,Australia,,,FIFA World Cup,Seattle,United States,0,,,2026,1.8,1.7,0.1,0.5,0.1,1.3,1.0,0.3,0.5,0.1,1,0,0,5,1318.9984066465952,1315.5929437097868,3.4054629368083624,H
2026-06-19,Turkey,Paraguay,,,FIFA World Cup,Santa Clara,United States,1,,,2026,2.5,1.3,1.2,0.8,0.1,1.2,1.0,0.2,0.4,0.2,0,0,0,5,1369.4305733777055,1302.8827481961675,66.54782518153797,H
2026-06-20,Germany,Ivory Coast,,,FIFA World Cup,Toronto,Canada,1,,,2026,2.8,0.8,2.0,0.9,0.0,1.9,0.8,1.1,0.7,0.1,0,0,0,5,1437.0666240095911,1290.6779557560199,146.38866825357127,H
2026-06-20,Ecuador,Curaçao,,,FIFA World Cup,Kansas City,United States,1,,,2026,1.2,0.5,0.7,0.4,0.6,1.9,1.4,0.5,0.4,0.3,0,0,0,5,1400.544631162859,1049.524651462203,351.019979700656,H
2026-06-20,Netherlands,Sweden,,,FIFA World Cup,Houston,United States,1,,,2026,2.2,0.8,1.4,0.6,0.3,1.3,2.0,-0.7,0.2,0.3,0,0,0,5,1411.9504776881374,1227.0642996664387,184.8861780216987,H
2026-06-20,Tunisia,Japan,,,FIFA World Cup,Guadalupe,Mexico,1,,,2026,1.3,1.4,-0.1,0.3,0.4,1.9,0.6,1.3,0.7,0.2,1,0,0,5,1187.0953020650727,1434.3290437777491,-247.23374171267642,A
2026-06-21,Belgium,Iran,,,FIFA World Cup,Inglewood,United States,1,,,2026,3.7,0.6,3.1,0.7,0.3,1.7,0.6,1.1,0.5,0.2,0,0,0,5,1373.3167300367343,1341.2566438166432,32.06008622009108,H
2026-06-21,New Zealand,Egypt,,,FIFA World Cup,Vancouver,Canada,1,,,2026,0.7,1.8,-1.1,0.1,0.1,1.3,0.6,0.7,0.5,0.3,0,1,0,5,1144.4817928057782,1256.322527151461,-111.84073434568268,A
